name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,count0,count0.25,count0.5,count1,count2,Count4,Combined_score_1,attack,defense,base_happiness,hp,special_attack,special_defense,speed,capture_rate,cap_rate_normalized,Combined_score_2,classfication,experience_growth,height,japanese_name,percentage_male,pokedex_number,type1,type2,weight_kg,generation,is_legendary
Bulbasaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,49,49,70,45,65,65,45,45,60.48829123,401.333,Seed Pokémon,1059860,0.7,Fushigidaneフシギダネ,88.1,1,grass,poison,6.9,1,0
Ivysaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,62,63,70,60,80,80,60,45,60.48829123,488.333,Seed Pokémon,1059860,1,Fushigisouフシギソウ,88.1,2,grass,poison,13,1,0
Venusaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,0,1,4,9,4,0,92,100,123,70,80,122,120,80,45,60.48829123,708.333,Seed Pokémon,1059860,2,Fushigibanaフシギバナ,88.1,3,grass,poison,100,1,0
Charmander,"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,52,43,70,39,60,50,65,45,60.48829123,392.333,Lizard Pokémon,1059860,0.6,Hitokageヒトカゲ,88.1,4,fire,,8.5,1,0
Charmeleon,"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,64,58,70,58,80,65,80,45,60.48829123,488.333,Flame Pokémon,1059860,1.1,Lizardoリザード,88.1,5,fire,,19,1,0
Charizard,"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,1,2,4,8,2,1,133,104,78,70,78,159,115,100,45,60.48829123,717.333,Flame Pokémon,1059860,1.7,Lizardonリザードン,88.1,6,fire,flying,90.5,1,0
Squirtle,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,48,65,70,44,50,64,43,45,60.48829123,397.333,Tiny Turtle Pokémon,1059860,0.5,Zenigameゼニガメ,88.1,7,water,,9,1,0
Wartortle,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,63,80,70,59,65,80,58,45,60.48829123,488.889,Turtle Pokémon,1059860,1,Kameilカメール,88.1,8,water,,22.5,1,0
Blastoise,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,103,120,70,79,135,115,78,45,60.48829123,714.444,Shellfish Pokémon,1059860,1.6,Kamexカメックス,88.1,9,water,,85.5,1,0
Caterpie,"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,30,35,70,45,20,20,45,255,41.55343044,267.549,Worm Pokémon,1000000,0.3,Caterpieキャタピー,50,10,bug,,2.9,1,0
Metapod,['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,20,55,70,50,25,25,30,120,48.09585513,280.417,Cocoon Pokémon,1000000,0.7,Transelトランセル,50,11,bug,,9.9,1,0
Butterfree,"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,1,2,1,9,4,1,117,45,50,70,60,90,80,70,45,60.48829123,478.889,Butterfly Pokémon,1000000,1.1,Butterfreeバタフリー,50,12,bug,flying,32,1,0
Weedle,"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,35,30,70,40,20,20,50,255,41.55343044,267.549,Hairy Pokémon,1000000,0.3,Beedleビードル,50,13,bug,poison,3.2,1,0
Kakuna,['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,25,50,70,45,25,25,35,120,48.09585513,280.208,Cocoon Pokémon,1000000,0.6,Cocoonコクーン,50,14,bug,poison,10,1,0
Beedrill,"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,150,40,70,65,15,80,145,45,60.48829123,578.333,Poison Bee Pokémon,1000000,1,Spearスピアー,50,15,bug,poison,29.5,1,0
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,45,40,70,40,35,35,56,255,41.55343044,323.451,Tiny Bird Pokémon,1059860,0.3,Poppoポッポ,50,16,normal,flying,1.8,1,0
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,60,55,70,63,50,50,71,120,48.09585513,424,Bird Pokémon,1059860,1.1,Pigeonピジョン,50,17,normal,flying,30,1,0
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,80,80,70,83,135,80,121,45,60.48829123,662.333,Bird Pokémon,1059860,1.5,Pigeotピジョット,50,18,normal,flying,39.5,1,0
Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,56,35,70,30,25,35,72,255,41.55343044,325.353,Mouse Pokémon,1000000,,Korattaコラッタ,50,19,normal,dark,,1,0
Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,71,70,70,75,40,80,77,127,47.53295139,487.724,Mouse Pokémon,1000000,,Rattaラッタ,50,20,normal,dark,,1,0
Spearow,"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,60,30,70,40,31,31,70,255,41.55343044,334.353,Tiny Bird Pokémon,1000000,0.3,Onisuzumeオニスズメ,50,21,normal,flying,2,1,0
